Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
C6G Double Extra Large,c6g.2xlarge,"152,497.141",Compute optimized,50.0 fps,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.272 hourly,$0.1714 hourly,$0.0841 hourly,,
C6G Quadruple Extra Large,c6g.4xlarge,"321,737.382",Compute optimized,92.0 fps,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.544 hourly,$0.3427 hourly,$0.196 hourly,,
C6G Eight Extra Large,c6g.8xlarge,"647,161.925",Compute optimized,151.0 fps,64 GiB,32 vCPUs,EBS only,12 Gigabit,$1.088 hourly,$0.6854 hourly,$0.3507 hourly,,
C6G Large,c6g.large,"40,300.913",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.068 hourly,$0.0428 hourly,$0.0241 hourly,,
C6G Medium,c6g.medium,"19,743.337",Compute optimized,,2 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,$0.034 hourly,$0.0214 hourly,$0.009 hourly,,
C6G Metal,c6g.metal,"1,258,768.767",Compute optimized,177.0 fps,128 GiB,64 vCPUs,EBS only,25 Gigabit,$2.176 hourly,$1.3709 hourly,$0.6602 hourly,,
C6G Extra Large,c6g.xlarge,"79,512.324",Compute optimized,26.0 fps,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.136 hourly,$0.0857 hourly,$0.0518 hourly,,
C6GD 12xlarge Extra Large,c6gd.12xlarge,"928,373.412",Compute optimized,172.0 fps,96 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),20 Gigabit,$1.8432 hourly,$1.1612 hourly,$0.5641 hourly,,
C6GD 16xlarge Extra Large,c6gd.16xlarge,"1,243,764.98",Compute optimized,176.0 fps,128 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$2.4576 hourly,$1.5483 hourly,$0.7923 hourly,,
C6GD Double Extra Large,c6gd.2xlarge,"158,029.894",Compute optimized,50.0 fps,16 GiB,8 vCPUs,474 GB NVMe SSD,Up to 10 Gigabit,$0.3072 hourly,$0.1935 hourly,$0.0586 hourly,,
C6GD Quadruple Extra Large,c6gd.4xlarge,"311,425.42",Compute optimized,94.0 fps,32 GiB,16 vCPUs,950 GB NVMe SSD,Up to 10 Gigabit,$0.6144 hourly,$0.3871 hourly,$0.1812 hourly,,
C6GD Eight Extra Large,c6gd.8xlarge,"625,814.863",Compute optimized,152.0 fps,64 GiB,32 vCPUs,1900 GB NVMe SSD,12 Gigabit,$1.2288 hourly,$0.7741 hourly,$0.3386 hourly,,
C6GD Large,c6gd.large,"39,968.026",Compute optimized,,4 GiB,2 vCPUs,118 GB NVMe SSD,Up to 10 Gigabit,$0.0768 hourly,$0.0484 hourly,$0.0198 hourly,,
C6GD Medium,c6gd.medium,"19,098.549",Compute optimized,,2 GiB,1 vCPUs,59 GB NVMe SSD,Up to 10 Gigabit,$0.0384 hourly,$0.0242 hourly,$0.0052 hourly,,
C6GD Metal,c6gd.metal,"1,247,239.184",Compute optimized,178.0 fps,128 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$2.4576 hourly,$1.5483 hourly,$0.7003 hourly,,
C6GD Extra Large,c6gd.xlarge,"78,426.247",Compute optimized,26.0 fps,8 GiB,4 vCPUs,237 GB NVMe SSD,Up to 10 Gigabit,$0.1536 hourly,$0.0968 hourly,$0.0529 hourly,,
C6GN 12xlarge Extra Large,c6gn.12xlarge,"932,823.735",Compute optimized,172.0 fps,96 GiB,48 vCPUs,EBS only,75 Gigabit,$2.0736 hourly,$1.3088 hourly,$0.5225 hourly,,
C6GN 16xlarge Extra Large,c6gn.16xlarge,"1,273,125.124",Compute optimized,175.0 fps,128 GiB,64 vCPUs,EBS only,100 Gigabit,$2.7648 hourly,$1.745 hourly,$0.6469 hourly,,
C6GN Double Extra Large,c6gn.2xlarge,"160,192.231",Compute optimized,50.0 fps,16 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.3456 hourly,$0.2181 hourly,$0.0635 hourly,,
C6GN Quadruple Extra Large,c6gn.4xlarge,"306,435.138",Compute optimized,93.0 fps,32 GiB,16 vCPUs,EBS only,25 Gigabit,$0.6912 hourly,$0.4363 hourly,$0.1863 hourly,,
C6GN Eight Extra Large,c6gn.8xlarge,"619,874.734",Compute optimized,151.0 fps,64 GiB,32 vCPUs,EBS only,50 Gigabit,$1.3824 hourly,$0.8725 hourly,$0.2796 hourly,,
C6GN Large,c6gn.large,"40,238.75",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.0864 hourly,$0.0545 hourly,$0.0223 hourly,,
C6GN Medium,c6gn.medium,"19,136.314",Compute optimized,,2 GiB,1 vCPUs,EBS only,Up to 16 Gigabit,$0.0432 hourly,$0.0273 hourly,$0.0066 hourly,,
C6GN Metal,c6gn.metal,,Compute optimized,,128 GiB,64 vCPUs,EBS only,100 Gigabit,,,,,
C6GN Extra Large,c6gn.xlarge,"79,166.117",Compute optimized,26.0 fps,8 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,$0.1728 hourly,$0.1091 hourly,$0.0344 hourly,,
C6I 12xlarge Extra Large,c6i.12xlarge,"847,121.112",Compute optimized,218.0 fps,96 GiB,48 vCPUs,EBS only,18.75 Gigabit,$2.04 hourly,$1.3495 hourly,$0.6045 hourly,$4.248 hourly,$3.5575 hourly
C6I 16xlarge Extra Large,c6i.16xlarge,"1,074,862.493",Compute optimized,185.0 fps,128 GiB,64 vCPUs,EBS only,25 Gigabit,$2.72 hourly,$1.7993 hourly,$0.889 hourly,$5.664 hourly,$1.7993 hourly
C6I 24xlarge,c6i.24xlarge,"1,618,545.838",Compute optimized,237.0 fps,192 GiB,96 vCPUs,EBS only,37.5 Gigabit,$4.08 hourly,$2.6989 hourly,$1.3744 hourly,$8.496 hourly,$7.1149 hourly
C6I Double Extra Large,c6i.2xlarge,"136,839.855",Compute optimized,54.0 fps,16 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.34 hourly,$0.2249 hourly,$0.1155 hourly,$0.708 hourly,$0.5929 hourly
C6I 32xlarge,c6i.32xlarge,"2,262,083.591",Compute optimized,219.0 fps,256 GiB,128 vCPUs,EBS only,50 Gigabit,$5.44 hourly,$3.5986 hourly,$1.6412 hourly,$11.328 hourly,$3.5986 hourly
C6I Quadruple Extra Large,c6i.4xlarge,"276,864.509",Compute optimized,101.0 fps,32 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.68 hourly,$0.4498 hourly,$0.2447 hourly,$1.416 hourly,$0.4498 hourly
C6I Eight Extra Large,c6i.8xlarge,"540,723.217",Compute optimized,185.0 fps,64 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.36 hourly,$0.8996 hourly,$0.395 hourly,$2.832 hourly,$2.3716 hourly
C6I Large,c6i.large,"35,321.128",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.085 hourly,$0.0562 hourly,$0.0281 hourly,$0.177 hourly,$0.1482 hourly
C6I Metal,c6i.metal,"2,266,589.933",Compute optimized,255.0 fps,256 GiB,128 vCPUs,EBS only,50 Gigabit,$5.44 hourly,$3.5986 hourly,$1.566 hourly,$11.328 hourly,$9.4866 hourly
C6I Extra Large,c6i.xlarge,"70,311.127",Compute optimized,27.0 fps,8 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.17 hourly,$0.1125 hourly,$0.0656 hourly,$0.354 hourly,$0.2965 hourly
C6ID 12xlarge Extra Large,c6id.12xlarge,,Compute optimized,,96 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),18.75 Gigabit,$2.4192 hourly,$1.5246 hourly,$0.7932 hourly,$4.6272 hourly,$1.5246 hourly
C6ID 16xlarge Extra Large,c6id.16xlarge,,Compute optimized,,128 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$3.2256 hourly,$2.0328 hourly,$0.9485 hourly,$6.1696 hourly,$2.0328 hourly
C6ID 24xlarge,c6id.24xlarge,,Compute optimized,,192 GiB,96 vCPUs,5700 GB (4×1425 GB NVMe SSD),37.5 Gigabit,$4.8384 hourly,$3.0492 hourly,$1.4063 hourly,$9.2544 hourly,$7.4652 hourly
C6ID Double Extra Large,c6id.2xlarge,,Compute optimized,,16 GiB,8 vCPUs,474 GB NVMe SSD,Up to 12.5 Gigabit,$0.4032 hourly,$0.2541 hourly,$0.0959 hourly,$0.7712 hourly,$0.6221 hourly
C6ID 32xlarge,c6id.32xlarge,,Compute optimized,,256 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$6.4512 hourly,$4.0656 hourly,$2.0881 hourly,$12.3392 hourly,$4.0656 hourly
C6ID Quadruple Extra Large,c6id.4xlarge,,Compute optimized,,32 GiB,16 vCPUs,950 GB NVMe SSD,Up to 12.5 Gigabit,$0.8064 hourly,$0.5082 hourly,$0.165 hourly,$1.5424 hourly,$1.2442 hourly
C6ID Eight Extra Large,c6id.8xlarge,,Compute optimized,,64 GiB,32 vCPUs,1900 GB NVMe SSD,12.5 Gigabit,$1.6128 hourly,$1.0164 hourly,$0.4537 hourly,$3.0848 hourly,$1.0164 hourly
C6ID Large,c6id.large,,Compute optimized,,4 GiB,2 vCPUs,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1008 hourly,$0.0635 hourly,$0.0277 hourly,$0.1928 hourly,$0.0635 hourly
C6ID Metal,c6id.metal,,Compute optimized,,256 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$6.4512 hourly,$4.0656 hourly,$1.8135 hourly,$12.3392 hourly,$9.9536 hourly
C6ID Extra Large,c6id.xlarge,,Compute optimized,,8 GiB,4 vCPUs,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.2016 hourly,$0.1271 hourly,$0.0536 hourly,$0.3856 hourly,$0.1271 hourly
C6IN 12xlarge Extra Large,c6in.12xlarge,"795,228.628",Compute optimized,215.0 fps,96 GiB,48 vCPUs,EBS only,75 Gigabit,$2.7216 hourly,$1.7146 hourly,$1.0387 hourly,$4.9296 hourly,$3.9226 hourly
C6IN 16xlarge Extra Large,c6in.16xlarge,"1,061,183.883",Compute optimized,187.0 fps,128 GiB,64 vCPUs,EBS only,100 Gigabit,$3.6288 hourly,$2.2861 hourly,$1.2858 hourly,$6.5728 hourly,$5.2301 hourly
