Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
D3EN Quadruple Extra Large,d3en.4xlarge,"250,849.229",Storage optimized,90.0 fps,64 GiB,16 vCPUs,111840 GB (8×13980 GB NVMe HDD),25 Gigabit,,,,,
D3EN 6xlarge,d3en.6xlarge,"351,528.171",Storage optimized,127.0 fps,96 GiB,24 vCPUs,167760 GB (12×13980 GB NVMe HDD),40 Gigabit,,,,,
D3EN Eight Extra Large,d3en.8xlarge,"481,685.901",Storage optimized,150.0 fps,128 GiB,32 vCPUs,223680 GB (16×13980 GB NVMe HDD),50 Gigabit,,,,,
D3EN Large,d3en.large,,Storage optimized,,8 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,,,,,
D3EN Extra Large,d3en.xlarge,"58,751.53",Storage optimized,20.0 fps,16 GiB,4 vCPUs,27960 GB (2×13980 GB NVMe HDD),Up to 25 Gigabit,,,,,
DL1 24xlarge,dl1.24xlarge,"1,593,162.677",Machine Learning ASIC Instances,198.0 fps,768 GiB,96 vCPUs,4000 GB (4×1000 GB NVMe SSD),4x 100 Gigabit,,,,,
DL2Q 24xlarge,dl2q.24xlarge,"1,295,313.484",Machine Learning ASIC Instances,179.0 fps,768 GiB,96 vCPUs,EBS only,100 Gigabit,,,,,
F1 16xlarge Extra Large,f1.16xlarge,,FPGA Instances,,976 GiB,64 vCPUs,EBS only,25 Gigabit,,,,,
F1 Double Extra Large,f1.2xlarge,,FPGA Instances,,122 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,,,,,
F1 Quadruple Extra Large,f1.4xlarge,,FPGA Instances,,244 GiB,16 vCPUs,EBS only,10 Gigabit,,,,,
F2 12xlarge Extra Large,f2.12xlarge,"951,908.775",FPGA Instances,202.0 fps,512 GiB,48 vCPUs,1880 GB (2×940 GB NVMe SSD),25 Gigabit,,,,,
F2 48xlarge,f2.48xlarge,,FPGA Instances,,2048 GiB,192 vCPUs,7520 GB (8×940 GB NVMe SSD),100 Gigabit,,,,,
F2 6xlarge,f2.6xlarge,"485,829.96",FPGA Instances,166.0 fps,256 GiB,24 vCPUs,940 GB NVMe SSD,12.5 Gigabit,,,,,
G2 Double Extra Large,g2.2xlarge,,GPU instance,,15 GiB,8 vCPUs,EBS only,Moderate,$0.702 hourly,,,$0.819 hourly,
G2 Eight Extra Large,g2.8xlarge,,GPU instance,,60 GiB,32 vCPUs,EBS only,High,$2.808 hourly,,,$3.086 hourly,
G3 Graphics GPU 16xlarge Extra Large,g3.16xlarge,,GPU instance,,488 GiB,64 vCPUs,EBS only,20 Gigabit,$6.136 hourly,,,$9.08 hourly,
G3 Graphics GPU Quadruple Extra Large,g3.4xlarge,,GPU instance,,122 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$1.534 hourly,,,$2.27 hourly,
G3 Graphics GPU Eight Extra Large,g3.8xlarge,,GPU instance,,244 GiB,32 vCPUs,EBS only,10 Gigabit,$3.068 hourly,,,$4.54 hourly,
G3S Extra Large,g3s.xlarge,,GPU instance,,30.5 GiB,4 vCPUs,EBS only,10 Gigabit,,,,,
G4AD 16xlarge Extra Large,g4ad.16xlarge,"1,251,099.599",GPU instance,175.0 fps,256 GiB,64 vCPUs,2400 GB (2×1200 GB NVMe SSD),25 Gigabit,,,,,
G4AD Double Extra Large,g4ad.2xlarge,"149,300.156",GPU instance,53.0 fps,32 GiB,8 vCPUs,300 GB NVMe SSD,Up to 10 Gigabit,,,,,
G4AD Quadruple Extra Large,g4ad.4xlarge,"301,744.46",GPU instance,100.0 fps,64 GiB,16 vCPUs,600 GB NVMe SSD,Up to 10 Gigabit,,,,,
G4AD Eight Extra Large,g4ad.8xlarge,"609,911.055",GPU instance,151.0 fps,128 GiB,32 vCPUs,1200 GB NVMe SSD,15 Gigabit,,,,,
G4AD Extra Large,g4ad.xlarge,"74,710.497",GPU instance,28.0 fps,16 GiB,4 vCPUs,150 GB NVMe SSD,Up to 10 Gigabit,,,,,
G4DN 12xlarge Extra Large,g4dn.12xlarge,"715,776.916",GPU instance,110.0 fps,192 GiB,48 vCPUs,900 GB NVMe SSD,50 Gigabit,$4.694 hourly,$3.303 hourly,$1.6831 hourly,$6.902 hourly,$5.511 hourly
G4DN 16xlarge Extra Large,g4dn.16xlarge,"914,808.462",GPU instance,105.0 fps,256 GiB,64 vCPUs,900 GB NVMe SSD,50 Gigabit,$5.222 hourly,$3.674 hourly,$0.7564 hourly,$8.166 hourly,$6.618 hourly
G4DN Double Extra Large,g4dn.2xlarge,"116,228.389",GPU instance,105.0 fps,32 GiB,8 vCPUs,225 GB NVMe SSD,Up to 25 Gigabit,$0.902 hourly,$0.635 hourly,$0.4838 hourly,$1.27 hourly,$1.003 hourly
G4DN Quadruple Extra Large,g4dn.4xlarge,"230,991.338",GPU instance,106.0 fps,64 GiB,16 vCPUs,225 GB NVMe SSD,Up to 25 Gigabit,$1.445 hourly,$1.016 hourly,$0.7691 hourly,$2.181 hourly,$1.752 hourly
G4DN Eight Extra Large,g4dn.8xlarge,"458,343.28",GPU instance,105.0 fps,128 GiB,32 vCPUs,900 GB NVMe SSD,50 Gigabit,$2.611 hourly,$1.837 hourly,$0.8916 hourly,$4.083 hourly,$3.309 hourly
G4DN Metal,g4dn.metal,"1,287,380.984",GPU instance,103.0 fps,384 GiB,96 vCPUs,1800 GB (2×900 GB NVMe SSD),100 Gigabit,$9.389 hourly,$6.605 hourly,$3.9263 hourly,$13.805 hourly,$11.021 hourly
G4DN Extra Large,g4dn.xlarge,"55,463.117",GPU instance,105.0 fps,16 GiB,4 vCPUs,125 GB NVMe SSD,Up to 25 Gigabit,$0.631 hourly,$0.444 hourly,$0.3218 hourly,$0.815 hourly,$0.628 hourly
G5 Graphics and Machine Learning GPU 12xlarge Extra Large,g5.12xlarge,"895,146.627",GPU instance,109.0 fps,192 GiB,48 vCPUs,3800 GB NVMe SSD,40 Gigabit,,,,,
G5 Graphics and Machine Learning GPU 16xlarge Extra Large,g5.16xlarge,"1,246,915.184",GPU instance,113.0 fps,256 GiB,64 vCPUs,1900 GB NVMe SSD,25 Gigabit,,,,,
G5 Graphics and Machine Learning GPU 24xlarge,g5.24xlarge,"1,613,987.895",GPU instance,111.0 fps,384 GiB,96 vCPUs,3800 GB NVMe SSD,50 Gigabit,,,,,
G5 Graphics and Machine Learning GPU Double Extra Large,g5.2xlarge,"144,423.884",GPU instance,114.0 fps,32 GiB,8 vCPUs,450 GB NVMe SSD,Up to 10 Gigabit,,,,,
G5 Graphics and Machine Learning GPU 48xlarge,g5.48xlarge,"3,614,457.831",GPU instance,110.0 fps,768 GiB,192 vCPUs,7600 GB (2×3800 GB NVMe SSD),100 Gigabit,,,,,
G5 Graphics and Machine Learning GPU Quadruple Extra Large,g5.4xlarge,"312,479.656",GPU instance,111.0 fps,64 GiB,16 vCPUs,600 GB NVMe SSD,Up to 25 Gigabit,,,,,
G5 Graphics and Machine Learning GPU Eight Extra Large,g5.8xlarge,"621,902.633",GPU instance,111.0 fps,128 GiB,32 vCPUs,900 GB NVMe SSD,25 Gigabit,,,,,
G5 Graphics and Machine Learning GPU Extra Large,g5.xlarge,"69,633.842",GPU instance,115.0 fps,16 GiB,4 vCPUs,250 GB NVMe SSD,Up to 10 Gigabit,,,,,
G5G 16xlarge Extra Large,g5g.16xlarge,"1,283,422.46",GPU instance,100.0 fps,128 GiB,64 vCPUs,EBS only,25 Gigabit,,,,,
G5G Double Extra Large,g5g.2xlarge,"157,801.302",GPU instance,99.0 fps,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,,,,,
G5G Quadruple Extra Large,g5g.4xlarge,"314,877.985",GPU instance,99.0 fps,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,,,,,
G5G Eight Extra Large,g5g.8xlarge,"622,245.268",GPU instance,100.0 fps,64 GiB,32 vCPUs,EBS only,12 Gigabit,,,,,
G5G Metal,g5g.metal,"1,262,202.939",GPU instance,178.0 fps,128 GiB,64 vCPUs,EBS only,25 Gigabit,,,,,
G5G Extra Large,g5g.xlarge,"77,504.36",GPU instance,99.0 fps,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,,,,,
G6 Graphics and Machine Learning GPU 12xlarge Extra Large,g6.12xlarge,"1,056,861.342",GPU instance,138.0 fps,192 GiB,48 vCPUs,3760 GB (4×940 GB NVMe SSD),40 Gigabit,,,,,
G6 Graphics and Machine Learning GPU 16xlarge Extra Large,g6.16xlarge,"1,380,872.755",GPU instance,134.0 fps,256 GiB,64 vCPUs,1880 GB (2×940 GB NVMe SSD),25 Gigabit,,,,,
G6 Graphics and Machine Learning GPU 24xlarge,g6.24xlarge,"1,884,200.196",GPU instance,134.0 fps,384 GiB,96 vCPUs,3760 GB (4×940 GB NVMe SSD),50 Gigabit,,,,,
G6 Graphics and Machine Learning GPU Double Extra Large,g6.2xlarge,"167,346.512",GPU instance,133.0 fps,32 GiB,8 vCPUs,450 GB NVMe SSD,Up to 10 Gigabit,,,,,
G6 Graphics and Machine Learning GPU 48xlarge,g6.48xlarge,"3,842,689.883",GPU instance,131.0 fps,768 GiB,192 vCPUs,7520 GB (8×940 GB NVMe SSD),100 Gigabit,,,,,
G6 Graphics and Machine Learning GPU Quadruple Extra Large,g6.4xlarge,"332,519.354",GPU instance,133.0 fps,64 GiB,16 vCPUs,600 GB NVMe SSD,Up to 25 Gigabit,,,,,
G6 Graphics and Machine Learning GPU Eight Extra Large,g6.8xlarge,"689,915.378",GPU instance,135.0 fps,128 GiB,32 vCPUs,900 GB (2×450 GB NVMe SSD),25 Gigabit,,,,,
G6 Graphics and Machine Learning GPU Extra Large,g6.xlarge,"83,813.515",GPU instance,134.0 fps,16 GiB,4 vCPUs,250 GB NVMe SSD,Up to 10 Gigabit,,,,,
G6e Graphics and Machine Learning GPU 12xlarge Extra Large,g6e.12xlarge,"1,061,946.903",GPU instance,143.0 fps,384 GiB,48 vCPUs,3800 GB (2×1900 GB NVMe SSD),100 Gigabit,,,,,
G6e Graphics and Machine Learning GPU 16xlarge Extra Large,g6e.16xlarge,"1,347,368.421",GPU instance,129.0 fps,512 GiB,64 vCPUs,1900 GB (2×950 GB NVMe SSD),35 Gigabit,,,,,
G6e Graphics and Machine Learning GPU 24xlarge,g6e.24xlarge,"1,793,470.646",GPU instance,144.0 fps,768 GiB,96 vCPUs,3800 GB (2×1900 GB NVMe SSD),200 Gigabit,,,,,
G6e Graphics and Machine Learning GPU Double Extra Large,g6e.2xlarge,"163,968.026",GPU instance,143.0 fps,64 GiB,8 vCPUs,450 GB NVMe SSD,Up to 20 Gigabit,,,,,
G6e Graphics and Machine Learning GPU 48xlarge,g6e.48xlarge,"3,635,502.959",GPU instance,142.0 fps,1536 GiB,192 vCPUs,7600 GB (4×1900 GB NVMe SSD),400 Gigabit,,,,,
G6e Graphics and Machine Learning GPU Quadruple Extra Large,g6e.4xlarge,"343,366.06",GPU instance,143.0 fps,128 GiB,16 vCPUs,600 GB NVMe SSD,20 Gigabit,,,,,
G6e Graphics and Machine Learning GPU Eight Extra Large,g6e.8xlarge,"692,715.662",GPU instance,110.0 fps,256 GiB,32 vCPUs,900 GB (2×450 GB NVMe SSD),25 Gigabit,,,,,
G6e Graphics and Machine Learning GPU Extra Large,g6e.xlarge,"79,400.526",GPU instance,146.0 fps,32 GiB,4 vCPUs,250 GB NVMe SSD,Up to 20 Gigabit,,,,,
G6F Double Extra Large,g6f.2xlarge,"174,083.342",GPU instance,66.0 fps,32 GiB,8 vCPUs,200 GB NVMe SSD,Up to 10 Gigabit,,,,,
G6F Quadruple Extra Large,g6f.4xlarge,"348,754.836",GPU instance,122.0 fps,64 GiB,16 vCPUs,450 GB NVMe SSD,Up to 25 Gigabit,,,,,
G6F Large,g6f.large,"40,677.277",GPU instance,17.0 fps,8 GiB,2 vCPUs,100 GB NVMe SSD,Up to 10 Gigabit,,,,,
G6F Extra Large,g6f.xlarge,"70,975.469",GPU instance,30.0 fps,16 GiB,4 vCPUs,100 GB NVMe SSD,Up to 10 Gigabit,,,,,
G7E 12xlarge Extra Large,g7e.12xlarge,"1,199,200.533",GPU instance,71.0 fps,512 GiB,48 vCPUs,3800 GB NVMe SSD,400 Gigabit,,,,,
G7E 24xlarge,g7e.24xlarge,"2,040,960.952",GPU instance,161.0 fps,1024 GiB,96 vCPUs,7600 GB (2×3800 GB NVMe SSD),800 Gigabit,,,,,
G7E Double Extra Large,g7e.2xlarge,"219,398.482",GPU instance,118.0 fps,64 GiB,8 vCPUs,1900 GB NVMe SSD,50 Gigabit,,,,,
G7E 48xlarge,g7e.48xlarge,"4,097,019.703",GPU instance,122.0 fps,2048 GiB,192 vCPUs,15200 GB (4×3800 GB NVMe SSD),1600 Gigabit,,,,,
G7E Quadruple Extra Large,g7e.4xlarge,"383,524.43",GPU instance,152.0 fps,128 GiB,16 vCPUs,1900 GB NVMe SSD,50 Gigabit,,,,,
G7E Eight Extra Large,g7e.8xlarge,"852,916.352",GPU instance,153.0 fps,256 GiB,32 vCPUs,1900 GB NVMe SSD,100 Gigabit,,,,,
Gr6 Graphics and Machine Learning GPU High RAM ratio Quadruple Extra Large,gr6.4xlarge,"326,914.236",GPU instance,127.0 fps,128 GiB,16 vCPUs,600 GB NVMe SSD,Up to 25 Gigabit,,,,,
Gr6 Graphics and Machine Learning GPU High RAM ratio Eight Extra Large,gr6.8xlarge,"644,316.923",GPU instance,134.0 fps,256 GiB,32 vCPUs,900 GB (2×450 GB NVMe SSD),25 Gigabit,,,,,
GR6F Quadruple Extra Large,gr6f.4xlarge,"331,434.49",GPU instance,118.0 fps,128 GiB,16 vCPUs,450 GB NVMe SSD,Up to 25 Gigabit,,,,,
H1 16xlarge Extra Large,h1.16xlarge,"1,104,495.642",Storage optimized,211.0 fps,256 GiB,64 vCPUs,16000 GB (8×2000 GB HDD),25 Gigabit,,,,,
H1 Double Extra Large,h1.2xlarge,"119,790.367",Storage optimized,47.0 fps,32 GiB,8 vCPUs,2000 GB HDD,Up to 10 Gigabit,,,,,
H1 Quadruple Extra Large,h1.4xlarge,"271,197.932",Storage optimized,103.0 fps,64 GiB,16 vCPUs,4000 GB (2×2000 GB HDD),Up to 10 Gigabit,,,,,
H1 Eight Extra Large,h1.8xlarge,"559,538.381",Storage optimized,177.0 fps,128 GiB,32 vCPUs,8000 GB (4×2000 GB HDD),10 Gigabit,,,,,
HPC6A 48xlarge,hpc6a.48xlarge,"2,704,225.352",Compute optimized,235.0 fps,384 GiB,96 vCPUs,EBS only,100 Gigabit,,,,,
HPC6ID 32xlarge,hpc6id.32xlarge,"1,644,610.048",Compute optimized,216.0 fps,1024 GiB,64 vCPUs,15200 GB (4×3800 GB NVMe SSD),200 Gigabit,,,,,
HPC7A 12xlarge Extra Large,hpc7a.12xlarge,"777,957.861",Compute optimized,180.0 fps,768 GiB,24 vCPUs,EBS only,300 Gigabit,,,,,
HPC7A 24xlarge,hpc7a.24xlarge,"1,661,187.057",Compute optimized,272.0 fps,768 GiB,48 vCPUs,EBS only,300 Gigabit,,,,,
HPC7A 48xlarge,hpc7a.48xlarge,"3,240,324.032",Compute optimized,305.0 fps,768 GiB,96 vCPUs,EBS only,300 Gigabit,,,,,
HPC7A 96xlarge,hpc7a.96xlarge,"6,797,663.303",Compute optimized,326.0 fps,768 GiB,192 vCPUs,EBS only,300 Gigabit,,,,,
HPC7G 16xlarge Extra Large,hpc7g.16xlarge,"1,576,743.04",Compute optimized,242.0 fps,128 GiB,64 vCPUs,EBS only,200 Gigabit,,,,,
HPC7G Quadruple Extra Large,hpc7g.4xlarge,"405,911.08",Compute optimized,134.0 fps,128 GiB,16 vCPUs,EBS only,200 Gigabit,,,,,
HPC7G Eight Extra Large,hpc7g.8xlarge,"819,304.871",Compute optimized,214.0 fps,128 GiB,32 vCPUs,EBS only,200 Gigabit,,,,,
HPC8A 96xlarge,hpc8a.96xlarge,,General purpose,,768 GiB,192 vCPUs,EBS only,300 Gigabit,,,,,
High Storage Eight Extra Large,hs1.8xlarge,,Storage optimized,,117 GiB,16 vCPUs,EBS only,10 Gigabit,,,,,
I2 Double Extra Large,i2.2xlarge,"127,720.717",Storage optimized,46.0 fps,61 GiB,8 vCPUs,1600 GB (2×800 GB SSD),High,$1.876 hourly,$1.03 hourly,$0.392 hourly,$2.116 hourly,$1.414 hourly
I2 Quadruple Extra Large,i2.4xlarge,"246,583.787",Storage optimized,87.0 fps,122 GiB,16 vCPUs,3200 GB (4×800 GB SSD),High,$3.751 hourly,$2.06 hourly,$0.3751 hourly,$4.232 hourly,$2.827 hourly
I2 Eight Extra Large,i2.8xlarge,"507,533.703",Storage optimized,138.0 fps,244 GiB,32 vCPUs,6400 GB (8×800 GB SSD),10 Gigabit,$7.502 hourly,$4.12 hourly,$0.7502 hourly,$8.464 hourly,$5.654 hourly
I2 Large,i2.large,,Storage optimized,,15 GiB,2 vCPUs,EBS only,Moderate,,,,,
I2 Extra Large,i2.xlarge,"64,906.089",Storage optimized,24.0 fps,30.5 GiB,4 vCPUs,800 GB SSD,Moderate,$0.938 hourly,$0.515 hourly,$0.1648 hourly,$1.058 hourly,$0.706 hourly
I3 High I/O 16xlarge Extra Large,i3.16xlarge,"853,447.126",Storage optimized,132.0 fps,488 GiB,64 vCPUs,15200 GB (8×1900 GB NVMe SSD),25 Gigabit,$5.504 hourly,$3.763 hourly,$1.5926 hourly,$8.448 hourly,$6.707 hourly
I3 High I/O Double Extra Large,i3.2xlarge,"136,083.351",Storage optimized,54.0 fps,61 GiB,8 vCPUs,1900 GB NVMe SSD,Up to 10 Gigabit,$0.688 hourly,$0.47 hourly,$0.463 hourly,$1.056 hourly,$0.838 hourly
I3 High I/O Quadruple Extra Large,i3.4xlarge,"208,831.847",Storage optimized,64.0 fps,122 GiB,16 vCPUs,3800 GB (2×1900 GB NVMe SSD),Up to 10 Gigabit,$1.376 hourly,$0.941 hourly,$0.6278 hourly,$2.112 hourly,$1.677 hourly
I3 High I/O Eight Extra Large,i3.8xlarge,"425,305.688",Storage optimized,113.0 fps,244 GiB,32 vCPUs,7600 GB (4×1900 GB NVMe SSD),10 Gigabit,$2.752 hourly,$1.882 hourly,$0.767 hourly,$4.224 hourly,$3.354 hourly
I3 High I/O Large,i3.large,"30,350.549",Storage optimized,12.0 fps,15.25 GiB,2 vCPUs,475 GB NVMe SSD,Up to 10 Gigabit,$0.172 hourly,$0.118 hourly,$0.0386 hourly,$0.264 hourly,$0.21 hourly
I3 High I/O Metal,i3.metal,,Storage optimized,,488 GiB,64 vCPUs,EBS only,20 Gigabit,$5.504 hourly,,,$8.448 hourly,
I3 High I/O Extra Large,i3.xlarge,"52,721.761",Storage optimized,17.0 fps,30.5 GiB,4 vCPUs,950 GB NVMe SSD,Up to 10 Gigabit,$0.344 hourly,$0.235 hourly,$0.1302 hourly,$0.528 hourly,$0.419 hourly
I3EN 12xlarge Extra Large,i3en.12xlarge,"700,661.736",Storage optimized,156.0 fps,384 GiB,48 vCPUs,30000 GB (4×7500 GB NVMe SSD),50 Gigabit,$6.00 hourly,$4.098 hourly,$1.2206 hourly,$8.208 hourly,$6.306 hourly
I3EN 24xlarge,i3en.24xlarge,"1,364,605.544",Storage optimized,173.0 fps,768 GiB,96 vCPUs,60000 GB (8×7500 GB NVMe SSD),100 Gigabit,$12.00 hourly,$8.196 hourly,$4.0479 hourly,$16.416 hourly,$12.612 hourly
I3EN Double Extra Large,i3en.2xlarge,"127,206.233",Storage optimized,46.0 fps,64 GiB,8 vCPUs,5000 GB (2×2500 GB NVMe SSD),Up to 25 Gigabit,$1.00 hourly,$0.683 hourly,$0.2749 hourly,$1.368 hourly,$1.051 hourly
I3EN 3xlarge,i3en.3xlarge,"184,482.935",Storage optimized,61.0 fps,96 GiB,12 vCPUs,7500 GB NVMe SSD,Up to 25 Gigabit,$1.50 hourly,$1.024 hourly,$0.2929 hourly,$2.052 hourly,$1.576 hourly
I3EN 6xlarge,i3en.6xlarge,"355,625.803",Storage optimized,125.0 fps,192 GiB,24 vCPUs,15000 GB (2×7500 GB NVMe SSD),25 Gigabit,$3.00 hourly,$2.049 hourly,$0.5628 hourly,$4.104 hourly,$3.153 hourly
I3EN Large,i3en.large,"27,121.096",Storage optimized,12.0 fps,16 GiB,2 vCPUs,1250 GB NVMe SSD,Up to 25 Gigabit,$0.25 hourly,$0.171 hourly,$0.0459 hourly,$0.342 hourly,$0.263 hourly
I3EN Metal,i3en.metal,"1,319,950.502",Storage optimized,175.0 fps,768 GiB,96 vCPUs,60000 GB (8×7500 GB NVMe SSD),100 Gigabit,$12.00 hourly,$8.196 hourly,$2.2434 hourly,$16.416 hourly,$12.612 hourly
I3EN Extra Large,i3en.xlarge,"54,859.651",Storage optimized,19.0 fps,32 GiB,4 vCPUs,2500 GB NVMe SSD,Up to 25 Gigabit,$0.50 hourly,$0.341 hourly,$0.1113 hourly,$0.684 hourly,$0.525 hourly
I3P 16xlarge Extra Large,i3p.16xlarge,,Storage optimized,,488 GiB,64 vCPUs,EBS only,20 Gigabit,,,,,
I4G 16xlarge Extra Large,i4g.16xlarge,"1,271,186.441",Storage optimized,176.0 fps,512 GiB,64 vCPUs,15000 GB (4×3750 GB NVMe SSD),37.5 Gigabit,,,,,
I4G Double Extra Large,i4g.2xlarge,"155,018.731",Storage optimized,50.0 fps,64 GiB,8 vCPUs,1875 GB NVMe SSD,Up to 12 Gigabit,,,,,
I4G Quadruple Extra Large,i4g.4xlarge,"311,284.047",Storage optimized,94.0 fps,128 GiB,16 vCPUs,3750 GB NVMe SSD,Up to 25 Gigabit,,,,,
I4G Eight Extra Large,i4g.8xlarge,"642,699.337",Storage optimized,150.0 fps,256 GiB,32 vCPUs,7500 GB (2×3750 GB NVMe SSD),18.75 Gigabit,,,,,
I4G Large,i4g.large,"37,845.339",Storage optimized,12.0 fps,16 GiB,2 vCPUs,468 GB NVMe SSD,Up to 10 Gigabit,,,,,
I4G Extra Large,i4g.xlarge,"78,498.07",Storage optimized,26.0 fps,32 GiB,4 vCPUs,937 GB NVMe SSD,Up to 10 Gigabit,,,,,
I4I 12xlarge Extra Large,i4i.12xlarge,"817,926.216",Storage optimized,219.0 fps,384 GiB,48 vCPUs,11250 GB (3×3750 GB NVMe SSD),28.12 Gigabit,$4.541 hourly,$2.961 hourly,$0.8305 hourly,$6.749 hourly,$5.169 hourly
I4I 16xlarge Extra Large,i4i.16xlarge,"1,102,497.847",Storage optimized,187.0 fps,512 GiB,64 vCPUs,15000 GB (4×3750 GB NVMe SSD),37.5 Gigabit,$6.054 hourly,$3.948 hourly,$1.1153 hourly,$8.998 hourly,$6.892 hourly
I4I 24xlarge,i4i.24xlarge,"1,713,979.646",Storage optimized,237.0 fps,768 GiB,96 vCPUs,22500 GB (6×3750 GB NVMe SSD),56.25 Gigabit,$9.0816 hourly,$5.9218 hourly,$1.0396 hourly,$13.4976 hourly,$10.3378 hourly
I4I Double Extra Large,i4i.2xlarge,"138,864.78",Storage optimized,56.0 fps,64 GiB,8 vCPUs,1875 GB NVMe SSD,Up to 12 Gigabit,$0.757 hourly,$0.493 hourly,$0.2135 hourly,$1.125 hourly,$0.493 hourly
I4I 32xlarge,i4i.32xlarge,"2,201,393.069",Storage optimized,221.0 fps,1024 GiB,128 vCPUs,30000 GB (8×3750 GB NVMe SSD),75 Gigabit,$12.1088 hourly,$7.8957 hourly,$3.1386 hourly,$17.9968 hourly,$13.7837 hourly
I4I Quadruple Extra Large,i4i.4xlarge,"269,269.606",Storage optimized,99.0 fps,128 GiB,16 vCPUs,3750 GB NVMe SSD,Up to 25 Gigabit,$1.514 hourly,$0.987 hourly,$0.3178 hourly,$2.25 hourly,$1.723 hourly
I4I Eight Extra Large,i4i.8xlarge,"552,605.448",Storage optimized,183.0 fps,256 GiB,32 vCPUs,7500 GB (2×3750 GB NVMe SSD),18.75 Gigabit,$3.027 hourly,$1.974 hourly,$0.6499 hourly,$4.499 hourly,$3.446 hourly
I4I Large,i4i.large,"34,048.349",Storage optimized,14.0 fps,16 GiB,2 vCPUs,468 GB NVMe SSD,Up to 10 Gigabit,$0.189 hourly,$0.123 hourly,$0.0394 hourly,$0.281 hourly,$0.123 hourly
I4I Metal,i4i.metal,"2,356,189.6",Storage optimized,259.0 fps,1024 GiB,128 vCPUs,30000 GB (8×3750 GB NVMe SSD),75 Gigabit,$12.109 hourly,$7.896 hourly,$1.2109 hourly,$17.997 hourly,$7.896 hourly
I4I Extra Large,i4i.xlarge,"66,786.326",Storage optimized,28.0 fps,32 GiB,4 vCPUs,937 GB NVMe SSD,Up to 10 Gigabit,$0.378 hourly,$0.247 hourly,$0.1286 hourly,$0.562 hourly,$0.431 hourly
I7I 12xlarge Extra Large,i7i.12xlarge,"1,053,401.609",Storage optimized,236.0 fps,384 GiB,48 vCPUs,11250 GB (3×3750 GB NVMe SSD),Up to 28 Gigabit,$4.9949 hourly,,$0.8969 hourly,$7.2029 hourly,
I7I 16xlarge Extra Large,i7i.16xlarge,"1,403,970.604",Storage optimized,243.0 fps,512 GiB,64 vCPUs,15000 GB (4×3750 GB NVMe SSD),Up to 37.5 Gigabit,$6.6598 hourly,,$1.173 hourly,$9.6038 hourly,
I7I 24xlarge,i7i.24xlarge,"2,061,412.927",Storage optimized,257.0 fps,768 GiB,96 vCPUs,22500 GB (6×3750 GB NVMe SSD),Up to 56.25 Gigabit,$9.9898 hourly,,$1.7528 hourly,$14.4058 hourly,
I7I Double Extra Large,i7i.2xlarge,"158,290.463",Storage optimized,62.0 fps,64 GiB,8 vCPUs,1875 GB NVMe SSD,Up to 12 Gigabit,$0.8325 hourly,,$0.2157 hourly,$1.2005 hourly,
I7I 48xlarge,i7i.48xlarge,"3,889,526.639",Storage optimized,278.0 fps,1536 GiB,192 vCPUs,45000 GB (12×3750 GB NVMe SSD),Up to 100 Gigabit,$19.9795 hourly,,$2.2457 hourly,$28.8115 hourly,
I7I Quadruple Extra Large,i7i.4xlarge,"365,234.264",Storage optimized,126.0 fps,128 GiB,16 vCPUs,3750 GB NVMe SSD,Up to 25 Gigabit,$1.665 hourly,,$0.5135 hourly,$2.401 hourly,
I7I Eight Extra Large,i7i.8xlarge,"804,255.854",Storage optimized,228.0 fps,256 GiB,32 vCPUs,7500 GB (2×3750 GB NVMe SSD),Up to 25 Gigabit,$3.3299 hourly,,$1.1173 hourly,$4.8019 hourly,
I7I Large,i7i.large,"48,531.91",Storage optimized,19.0 fps,16 GiB,2 vCPUs,468 GB NVMe SSD,Up to 10 Gigabit,$0.2081 hourly,,$0.0398 hourly,$0.3001 hourly,
I7I Metal-24xl,i7i.metal-24xl,"2,091,959.032",Storage optimized,270.0 fps,768 GiB,96 vCPUs,22500 GB (6×3750 GB NVMe SSD),Up to 56.25 Gigabit,$9.9898 hourly,,$0.999 hourly,$14.4058 hourly,
I7I Metal-48xl,i7i.metal-48xl,"4,142,394.822",Storage optimized,283.0 fps,1536 GiB,192 vCPUs,45000 GB (12×3750 GB NVMe SSD),Up to 100 Gigabit,$19.9795 hourly,,$1.998 hourly,$28.8115 hourly,
I7I Extra Large,i7i.xlarge,"99,481.865",Storage optimized,38.0 fps,32 GiB,4 vCPUs,937 GB NVMe SSD,Up to 10 Gigabit,$0.4162 hourly,,$0.1074 hourly,$0.6002 hourly,
I7IE 12xlarge Extra Large,i7ie.12xlarge,"1,129,456.057",Storage optimized,243.0 fps,384 GiB,48 vCPUs,30000 GB (4×7500 GB NVMe SSD),Up to 50 Gigabit,$6.90 hourly,,$0.69 hourly,$9.108 hourly,
