Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
X8I 12xlarge Extra Large,x8i.12xlarge,"1,197,604.79",Memory optimized,261.0 fps,768 GiB,48 vCPUs,EBS only,22.5 Gigabit,,,,,
X8I 16xlarge Extra Large,x8i.16xlarge,"1,603,206.413",Memory optimized,260.0 fps,1024 GiB,64 vCPUs,EBS only,30 Gigabit,,,,,
X8I 24xlarge,x8i.24xlarge,"2,202,466.303",Memory optimized,294.0 fps,1536 GiB,96 vCPUs,EBS only,40 Gigabit,,,,,
X8I Double Extra Large,x8i.2xlarge,"191,632.066",Memory optimized,77.0 fps,128 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,,,,,
X8I 32xlarge,x8i.32xlarge,"3,045,262.594",Memory optimized,183.0 fps,2048 GiB,128 vCPUs,EBS only,50 Gigabit,,,,,
X8I 48xlarge,x8i.48xlarge,,Memory optimized,,3072 GiB,192 vCPUs,EBS only,75 Gigabit,,,,,
X8I Quadruple Extra Large,x8i.4xlarge,"384,630.795",Memory optimized,144.0 fps,256 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,,,,,
X8I 64xlarge,x8i.64xlarge,,Memory optimized,,4096 GiB,256 vCPUs,EBS only,80 Gigabit,,,,,
X8I Eight Extra Large,x8i.8xlarge,"761,451.517",Memory optimized,244.0 fps,512 GiB,32 vCPUs,EBS only,15 Gigabit,,,,,
X8I 96xlarge,x8i.96xlarge,,Memory optimized,,6144 GiB,384 vCPUs,EBS only,100 Gigabit,,,,,
X8I Large,x8i.large,"48,003.84",Memory optimized,19.0 fps,32 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,,,,,
X8I Metal-48xl,x8i.metal-48xl,,Memory optimized,,3072 GiB,192 vCPUs,EBS only,75 Gigabit,,,,,
X8I Metal-96xl,x8i.metal-96xl,,Memory optimized,,6144 GiB,384 vCPUs,EBS only,100 Gigabit,,,,,
